Measure Names,Year of Season,Measure Values
Northern America (A),2009,860
Northern America (A),2008,913
Northern America (A),2007,858
Northern America (A),2006,867
Northern America (A),2005,903
Northern America (A),2004,791
Northern America (A),2003,778
Northern America (A),2002,773
Northern America (A),2001,788
Northern America (A),2000,696
Northern America (A),1999,683
Northern America (A),1998,656
Northern America (A),1997,664
Northern America (A),1996,591
Northern America (A),1995,538
Northern America (A),1994,476
Northern America (A),1993,438
Northern America (A),1992,440
Northern America (A),1991,354
Northern America (A),1990,269
Northern America (A),1989,640
Northern America (A),1988,584
Northern America (A),1987,555
Northern America (A),1986,483
Northern America (A),1985,496
Northern America (A),1984,498
Northern America (A),1983,502
Northern America (A),1982,521
Northern America (A),1981,491
Northern America (A),1980,460
Northern America (A),1979,434
Northern America (A),1978,438
Northern America (A),1977,394
Northern America (A),1976,340
Northern America (A),1975,342
Northern America (A),1974,417
Northern America (A),1973,462
Northern America (A),1972,450
Northern America (A),1971,481
Northern America (A),1970,475
Northern America (A),1969,527
Northern America (A),1968,546
Northern America (A),1967,512
Northern America (A),1966,506
Northern America (A),1965,566
Northern America (A),1964,603
Northern America (A),1963,611
Northern America (A),1962,198
Northern America (A),1961,210
Northern America (A),1960,218
Northern America (A-),2016,620
Northern America (A-),2015,595
Northern America (A-),2014,610
Northern America (A-),2013,574
Northern America (A-),2012,564
Northern America (A-),2011,570
Northern America (A-),2010,590
Northern America (A-),2009,556
Northern America (A-),2008,592
Northern America (A-),2007,580
Northern America (A-),2006,561
Northern America (A-),2005,579
Northern America (A-),2004,563
Northern America (A-),2003,595
Northern America (A-),2002,586
Northern America (A-),2001,548
Northern America (A-),2000,561
Northern America (A-),1999,542
Northern America (A-),1998,547
Northern America (A-),1997,539
Northern America (A-),1996,433
Northern America (A-),1995,377
Northern America (A-),1994,314
Northern America (A-),1993,291
Northern America (A-),1992,307
Northern America (A-),1991,245
Northern America (A-),1990,179
Northern America (A-),1989,155
Northern America (A-),1988,129
Northern America (A-),1987,121
Northern America (A-),1986,116
Northern America (A-),1985,85
Northern America (A-),1984,92
Northern America (A-),1983,105
Northern America (A-),1982,100
Northern America (A-),1981,107
Northern America (A-),1980,88
Northern America (A-),1979,100
Northern America (A-),1978,113
Northern America (A-),1977,100
Northern America (A-),1976,49
Northern America (A-),1975,42
Northern America (A-),1974,62
Northern America (A-),1973,77
Northern America (A-),1972,102
Northern America (A-),1971,112
Northern America (A-),1970,131
Northern America (A-),1969,116
Northern America (A-),1968,148
Northern America (A-),1967,104
Northern America (A-),1966,56
Northern America (A-),1965,
Northern America (A-),1964,
Northern America (A-),1963,
Northern America (A-),1962,
Northern America (A-),1961,
Northern America (A-),1960,
Northern America (Rk),2016,1059
Northern America (Rk),2015,1015
Northern America (Rk),2014,1039
Northern America (Rk),2013,1007
Northern America (Rk),2012,995
Northern America (Rk),2011,998
Northern America (Rk),2010,998
Northern America (Rk),2009,896
Northern America (Rk),2008,865
Northern America (Rk),2007,909
Northern America (Rk),2006,828
Northern America (Rk),2005,800
Northern America (Rk),2004,857
Northern America (Rk),2003,778
Northern America (Rk),2002,733
Northern America (Rk),2001,715
Northern America (Rk),2000,721
Northern America (Rk),1999,780
Northern America (Rk),1998,734
Northern America (Rk),1997,696
Northern America (Rk),1996,612
Northern America (Rk),1995,505
Northern America (Rk),1994,414
Northern America (Rk),1993,424
Northern America (Rk),1992,393
Northern America (Rk),1991,297
Northern America (Rk),1990,279
Northern America (Rk),1989,239
Northern America (Rk),1988,188
Northern America (Rk),1987,156
Northern America (Rk),1986,119
Northern America (Rk),1985,80
Northern America (Rk),1984,96
Northern America (Rk),1983,128
Northern America (Rk),1982,123
Northern America (Rk),1981,104
Northern America (Rk),1980,113
Northern America (Rk),1979,112
Northern America (Rk),1978,114
Northern America (Rk),1977,112
Northern America (Rk),1976,130
Northern America (Rk),1975,99
Northern America (Rk),1974,116
Northern America (Rk),1973,146
Northern America (Rk),1972,171
Northern America (Rk),1971,151
Northern America (Rk),1970,146
Northern America (Rk),1969,168
Northern America (Rk),1968,110
Northern America (Rk),1967,102
Northern America (Rk),1966,116
Northern America (Rk),1965,138
Northern America (Rk),1964,91
Northern America (Rk),1963,29
Northern America (Rk),1962,
Northern America (Rk),1961,
Northern America (Rk),1960,
Northern America (Frk),2016,10
Northern America (Frk),2015,12
Northern America (Frk),2014,17
Northern America (Frk),2013,17
Northern America (Frk),2012,15
Northern America (Frk),2011,10
Northern America (Frk),2010,8
Northern America (Frk),2009,7
Northern America (Frk),2008,12
Northern America (Frk),2007,11
Northern America (Frk),2006,7
Northern America (Frk),2005,
Northern America (Frk),2004,
Northern America (Frk),2003,
Northern America (Frk),2002,
Northern America (Frk),2001,
Northern America (Frk),2000,
Northern America (Frk),1999,
Northern America (Frk),1998,
Northern America (Frk),1997,
Northern America (Frk),1996,
Northern America (Frk),1995,
Northern America (Frk),1994,
Northern America (Frk),1993,
Northern America (Frk),1992,
Northern America (Frk),1991,
Northern America (Frk),1990,
Northern America (Frk),1989,
Northern America (Frk),1988,
Northern America (Frk),1987,
Northern America (Frk),1986,
Northern America (Frk),1985,
Northern America (Frk),1984,
Northern America (Frk),1983,
Northern America (Frk),1982,
Northern America (Frk),1981,
Northern America (Frk),1980,
Northern America (Frk),1979,
Northern America (Frk),1978,
Northern America (Frk),1977,
Northern America (Frk),1976,
Northern America (Frk),1975,
Northern America (Frk),1974,
Northern America (Frk),1973,
Northern America (Frk),1972,
Northern America (Frk),1971,
Northern America (Frk),1970,
Northern America (Frk),1969,
Northern America (Frk),1968,
Northern America (Frk),1967,
Northern America (Frk),1966,
Northern America (Frk),1965,
Northern America (Frk),1964,
Northern America (Frk),1963,
Northern America (Frk),1962,
Northern America (Frk),1961,
Northern America (Frk),1960,
