Measure Names,Year of Season,Measure Values
Oceania (MiLB),2016,27
Oceania (MiLB),2015,32
Oceania (MiLB),2014,36
Oceania (MiLB),2013,44
Oceania (MiLB),2012,45
Oceania (MiLB),2011,52
Oceania (MiLB),2010,52
Oceania (MiLB),2009,53
Oceania (MiLB),2008,48
Oceania (MiLB),2007,54
Oceania (MiLB),2006,57
Oceania (MiLB),2005,66
Oceania (MiLB),2004,55
Oceania (MiLB),2003,57
Oceania (MiLB),2002,48
Oceania (MiLB),2001,46
Oceania (MiLB),2000,43
Oceania (MiLB),1999,45
Oceania (MiLB),1998,41
Oceania (MiLB),1997,47
Oceania (MiLB),1996,36
Oceania (MiLB),1995,25
Oceania (MiLB),1994,22
Oceania (MiLB),1993,15
Oceania (MiLB),1992,11
Oceania (MiLB),1991,8
Oceania (MiLB),1990,6
Oceania (MiLB),1989,7
Oceania (MiLB),1988,5
Oceania (MiLB),1987,5
Oceania (MiLB),1986,2
Oceania (MiLB),1985,1
Oceania (MiLB),1984,1
Oceania (MiLB),1983,
Oceania (MiLB),1982,
Oceania (MiLB),1981,
Oceania (MiLB),1980,
Oceania (MiLB),1979,
Oceania (MiLB),1978,
Oceania (MiLB),1977,
Oceania (MiLB),1976,
Oceania (MiLB),1975,
Oceania (MiLB),1974,
Oceania (MiLB),1973,2
Oceania (MiLB),1972,1
Oceania (MiLB),1971,1
Oceania (MiLB),1970,1
Oceania (MiLB),1969,1
Oceania (MiLB),1968,1
Oceania (MiLB),1967,1
Oceania (MiLB),1966,1
Oceania (MiLB),1965,1
Oceania (MiLB),1964,
Oceania (MiLB),1963,1
Oceania (MiLB),1962,1
Oceania (MiLB),1961,
Oceania (MiLB),1960,
Europe (MiLB),2016,32
Europe (MiLB),2015,31
Europe (MiLB),2014,31
Europe (MiLB),2013,29
Europe (MiLB),2012,30
Europe (MiLB),2011,34
Europe (MiLB),2010,33
Europe (MiLB),2009,31
Europe (MiLB),2008,33
Europe (MiLB),2007,24
Europe (MiLB),2006,16
Europe (MiLB),2005,19
Europe (MiLB),2004,18
Europe (MiLB),2003,17
Europe (MiLB),2002,20
Europe (MiLB),2001,23
Europe (MiLB),2000,19
Europe (MiLB),1999,22
Europe (MiLB),1998,19
Europe (MiLB),1997,18
Europe (MiLB),1996,20
Europe (MiLB),1995,18
Europe (MiLB),1994,16
Europe (MiLB),1993,15
Europe (MiLB),1992,12
Europe (MiLB),1991,13
Europe (MiLB),1990,13
Europe (MiLB),1989,12
Europe (MiLB),1988,14
Europe (MiLB),1987,12
Europe (MiLB),1986,11
Europe (MiLB),1985,10
Europe (MiLB),1984,12
Europe (MiLB),1983,13
Europe (MiLB),1982,14
Europe (MiLB),1981,13
Europe (MiLB),1980,9
Europe (MiLB),1979,7
Europe (MiLB),1978,8
Europe (MiLB),1977,7
Europe (MiLB),1976,7
Europe (MiLB),1975,7
Europe (MiLB),1974,7
Europe (MiLB),1973,8
Europe (MiLB),1972,8
Europe (MiLB),1971,7
Europe (MiLB),1970,8
Europe (MiLB),1969,9
Europe (MiLB),1968,4
Europe (MiLB),1967,4
Europe (MiLB),1966,4
Europe (MiLB),1965,6
Europe (MiLB),1964,
Europe (MiLB),1963,2
Europe (MiLB),1962,1
Europe (MiLB),1961,1
Europe (MiLB),1960,2
Asia (MiLB),2016,35
Asia (MiLB),2015,40
Asia (MiLB),2014,45
Asia (MiLB),2013,41
Asia (MiLB),2012,49
Asia (MiLB),2011,53
Asia (MiLB),2010,60
Asia (MiLB),2009,57
Asia (MiLB),2008,49
Asia (MiLB),2007,43
Asia (MiLB),2006,33
Asia (MiLB),2005,34
Asia (MiLB),2004,33
Asia (MiLB),2003,42
Asia (MiLB),2002,41
Asia (MiLB),2001,36
Asia (MiLB),2000,34
Asia (MiLB),1999,34
Asia (MiLB),1998,41
Asia (MiLB),1997,29
Asia (MiLB),1996,27
Asia (MiLB),1995,30
Asia (MiLB),1994,14
Asia (MiLB),1993,8
Asia (MiLB),1992,12
Asia (MiLB),1991,12
Asia (MiLB),1990,17
Asia (MiLB),1989,13
Asia (MiLB),1988,11
Asia (MiLB),1987,10
Asia (MiLB),1986,7
Asia (MiLB),1985,3
Asia (MiLB),1984,7
Asia (MiLB),1983,2
Asia (MiLB),1982,
Asia (MiLB),1981,
Asia (MiLB),1980,
Asia (MiLB),1979,
Asia (MiLB),1978,1
Asia (MiLB),1977,1
Asia (MiLB),1976,1
Asia (MiLB),1975,1
Asia (MiLB),1974,2
Asia (MiLB),1973,6
Asia (MiLB),1972,5
Asia (MiLB),1971,2
Asia (MiLB),1970,2
Asia (MiLB),1969,2
Asia (MiLB),1968,3
Asia (MiLB),1967,1
Asia (MiLB),1966,1
Asia (MiLB),1965,
Asia (MiLB),1964,2
Asia (MiLB),1963,
Asia (MiLB),1962,
Asia (MiLB),1961,
Asia (MiLB),1960,
Africa (MiLB),2016,7
Africa (MiLB),2015,6
Africa (MiLB),2014,8
Africa (MiLB),2013,8
Africa (MiLB),2012,8
